category,status,title,slug,url,tags,description
action,listed,Abyssal Archive Diver — 어비셜 아카이브 다이버,abyssal-archive-diver,https://games.eastsea.xyz/abyssal-archive-diver/,"action, reflex, arcade",심해 보관소에서 잠수정을 조종해 잔해를 회피하고 유물 캡슐을 회수하는 생존 아케이드. 산소·선체 관리와 최고 점수 저장 지원.
action,listed,Astrofoil Signal Regatta — 애스트로포일 시그널 레가타,astrofoil-signal-regatta,https://games.eastsea.xyz/astrofoil-signal-regatta/,"action, reflex, arcade","3레인 우주 수면에서 솔라 세일을 조종해 신호 부이를 수집하고 파편을 회피하는 아케이드 러너. Pulse 부스트, 체인 배율, 최고 점수 localStorage 저장 지원."
action,listed,Aurora Rail Rescue — 오로라 레일 레스큐,aurora-rail-rescue,https://games.eastsea.xyz/aurora-rail-rescue/,"action, reflex, arcade",3레인 오로라 철로에서 좌우 이동·펄스로 파편을 피하고 구조 포드를 회수하는 하이퍼 리액션 러너. 거리·체인·실드 관리와 최고 기록 저장 지원.
action,listed,Aurora Threadline Pilot — 오로라 스레드라인 파일럿,aurora-threadline-pilot,https://games.eastsea.xyz/aurora-threadline-pilot/,"action, reflex, arcade",곡선형 오로라 항로에 기체를 맞춰 비행하며 에너지 오브를 수집하고 폭풍 노드를 회피하는 라인-트래킹 액션.
action,listed,Chrono Sandglass Smuggler — 크로노 샌드글래스 스머글러,chrono-sandglass-smuggler,https://games.eastsea.xyz/chrono-sandglass-smuggler/,"action, reflex, arcade","좌우 이동과 시간 정지(FREEZE) 에너지를 관리해 장벽을 회피하고 카고를 회수하는 스텔스 러너. 터치/키보드, Web Audio, 최고 점수 저장 지원."
action,listed,Driftglass Parry — 드리프트글래스 패리,driftglass-parry,https://games.eastsea.xyz/driftglass-parry/,"action, reflex, arcade","좌우 이동과 홀드 패링으로 낙하 파편을 반사·회피하며 생존 점수를 겨루는 액션. 터치/키보드, Web Audio, 최고 점수 저장 지원."
action,listed,Echo Runner — 시간 분신 협동 러너,echo-runner,https://games.eastsea.xyz/echo-runner/,"action, reflex, arcade",Echo Runner — 시간 분신 협동 러너 — 브라우저에서 바로 플레이!
action,listed,Emberline Skyhook Run — 엠버라인 스카이훅 런,emberline-skyhook-run,https://games.eastsea.xyz/emberline-skyhook-run/,"action, reflex, arcade","공중 레일에서 Skyhook를 좌우 전환·부스트로 조종해 에너지 링을 수집하고 충돌 드론을 회피하는 액션 러너. 터치/키보드, Web Audio, 최고 점수 저장 지원."
action,listed,Ferro Reef Ballast — 페로 리프 밸러스트,ferro-reef-ballast,https://games.eastsea.xyz/ferro-reef-ballast/,"action, reflex, arcade","좌우 밸러스트를 조절해 잠수정 기울기·압력을 버티며 암초를 회피하는 심해 생존 액션. 터치/키보드, Web Audio, 최고 거리 저장 지원."
action,listed,FLUX — Gravity Runner,flux-gravity-runner,https://games.eastsea.xyz/flux-gravity-runner/,"action, reflex, arcade",FLUX — Gravity Runner — 브라우저에서 바로 플레이!
action,listed,Gravity Dash — 중력 반전 러너,gravity-dash,https://games.eastsea.xyz/gravity-dash/,"action, reflex, arcade",Gravity Dash — 중력 반전 러너 — 브라우저에서 바로 플레이!
